class,probability,left_x,top_y,width,height
rose1,90,249,0,36,14
rose5,46,379,702,51,42
rose4,89,388,162,44,46
rose4,98,425,872,44,40
rose1,72,447,0,27,22
rose1,98,517,70,20,19
rose2,95,551,988,17,23
rose2,98,621,885,23,22
rose2,97,686,780,20,18
rose5,77,709,0,71,12
rose5,60,721,7,55,68
rose2,100,1299,216,26,26
rose2,94,1377,888,28,28
rose2,96,1399,1172,20,25
rose2,41,1429,677,24,17
rose2,98,1463,1072,23,19
rose2,97,1507,958,23,22
rose2,80,1507,1295,23,29
rose2,99,1513,894,26,24
rose2,67,1553,160,29,28
rose2,67,1588,822,26,20
rose1,92,1631,92,28,30
rose5,89,1633,1020,57,51
rose5,100,1638,1161,75,65
