distance_06.csv,before_x_06.csv,before_y_06.csv,after_x_06.csv,after_y_06.csv,class_before_06.csv,probability_before_06.csv,class_after_06.csv,probability_after_06.csv,distance_06.csv,before_x_06.csv,before_y_06.csv,after_x_06.csv,after_y_06.csv,class_before_06.csv,probability_before_06.csv,class_after_06.csv,probability_after_06.csv,distance_07.csv,before_x_07.csv,before_y_07.csv,after_x_07.csv,after_y_07.csv,class_before_07.csv,probability_before_07.csv,class_after_07.csv,probability_after_07.csv,distance,before_x,before_y,after_x,after_y,class_before,probability_before,class_after,probability_after
8.06225774829855,1553.0,160.0,1561.0,159.0,rose2,67.0,rose4,83.0,7.280109889280518,1561.0,159.0,1559.0,152.0,rose4,83.0,rose4,72.0,116.60617479361889,1559.0,152.0,1490.0,246.0,rose4,72.0,rose2,47.0,28.42534080710379,1490.0,246.0,1468.0,228.0,rose2,47.0,rose2,64.0
10.04987562112089,517.0,70.0,518.0,60.0,rose1,98.0,rose1,100.0,7.280109889280518,518.0,60.0,511.0,58.0,rose1,100.0,rose2,99.0,7.0,511.0,58.0,511.0,51.0,rose2,99.0,rose2,98.0,10.44030650891055,511.0,51.0,501.0,48.0,rose2,98.0,rose2,100.0
12.041594578792296,1299.0,216.0,1311.0,217.0,rose2,100.0,rose2,100.0,2.8284271247461903,1311.0,217.0,1313.0,215.0,rose2,100.0,rose3,33.0,17.08800749063506,1313.0,215.0,1307.0,199.0,rose3,33.0,rose4,99.0,300.77566390916667,1307.0,199.0,1112.0,428.0,rose4,99.0,rose2,34.0
71.06335201775947,1513.0,894.0,1510.0,965.0,rose2,99.0,rose2,99.0,1.4142135623730951,1510.0,965.0,1509.0,964.0,rose2,99.0,rose3,52.0,4.242640687119285,1509.0,964.0,1506.0,967.0,rose3,52.0,rose4,63.0,27.85677655436824,1506.0,967.0,1496.0,941.0,rose4,63.0,rose5,100.0
269.2582403567252,686.0,780.0,474.0,614.0,rose2,97.0,rose1,95.0,3.0,474.0,614.0,471.0,614.0,rose1,95.0,rose2,90.0,10.295630140987,471.0,614.0,480.0,609.0,rose2,90.0,rose2,98.0,12.165525060596439,480.0,609.0,468.0,607.0,rose2,98.0,rose3,36.0
479.0511454949252,721.0,7.0,242.0,0.0,rose5,60.0,rose1,68.0,4.0,242.0,0.0,238.0,0.0,rose1,68.0,rose1,54.0,499.001002003002,238.0,0.0,737.0,-1.0,rose1,54.0,rose5,53.0,543.2807745540053,737.0,-1.0,222.0,172.0,rose5,53.0,rose1,98.0
479.0511454949252,721.0,7.0,242.0,0.0,rose5,60.0,rose1,68.0,4.0,242.0,0.0,238.0,0.0,rose1,68.0,rose1,54.0,499.001002003002,238.0,0.0,737.0,-1.0,rose2,33.0,rose5,53.0,543.2807745540053,737.0,-1.0,222.0,172.0,rose5,53.0,rose1,98.0
479.0511454949252,721.0,7.0,242.0,0.0,rose5,60.0,rose1,68.0,4.0,242.0,0.0,238.0,0.0,rose1,68.0,rose2,33.0,499.001002003002,238.0,0.0,737.0,-1.0,rose1,54.0,rose5,53.0,543.2807745540053,737.0,-1.0,222.0,172.0,rose5,53.0,rose1,98.0
479.0511454949252,721.0,7.0,242.0,0.0,rose5,60.0,rose1,68.0,4.0,242.0,0.0,238.0,0.0,rose1,68.0,rose2,33.0,499.001002003002,238.0,0.0,737.0,-1.0,rose2,33.0,rose5,53.0,543.2807745540053,737.0,-1.0,222.0,172.0,rose5,53.0,rose1,98.0
,,,,,,,,,2.23606797749979,378.0,979.0,379.0,977.0,rose3,48.0,rose3,99.0,5.830951894845301,379.0,977.0,374.0,974.0,rose3,99.0,rose4,99.0,156.08010763707205,374.0,974.0,218.0,969.0,rose4,99.0,rose1,61.0
,,,,,,,,,3.605551275463989,1489.0,109.0,1492.0,107.0,rose2,83.0,rose2,32.0,5.830951894845301,1492.0,107.0,1495.0,102.0,rose2,32.0,rose2,98.0,15.620499351813308,1495.0,102.0,1485.0,90.0,rose2,98.0,rose3,38.0
,,,,,,,,,73.92563831310488,1547.0,566.0,1479.0,537.0,rose5,58.0,rose2,95.0,310.80057915003954,1479.0,537.0,1293.0,786.0,rose2,95.0,rose2,98.0,314.6823795511913,1293.0,786.0,1476.0,530.0,rose2,98.0,rose2,93.0
,,,,,,,,,181.13530854032848,1060.0,988.0,981.0,1151.0,rose2,39.0,rose2,40.0,233.43093196918014,981.0,1151.0,1204.0,1082.0,rose2,40.0,rose2,31.0,424.6056994436132,1204.0,1082.0,797.0,961.0,rose2,31.0,rose1,78.0
,,,,,,,,,295.0271173977063,1594.0,662.0,1590.0,367.0,rose1,45.0,rose1,98.0,4.123105625617661,1590.0,367.0,1594.0,368.0,rose1,98.0,rose2,81.0,188.73261509341728,1594.0,368.0,1626.0,182.0,rose2,81.0,rose2,93.0
,,,,,,,,,,,,,,,,,,17.029386365926403,1508.0,885.0,1491.0,884.0,rose4,100.0,rose5,100.0,891.7090332614109,1491.0,884.0,1608.0,0.0,rose5,100.0,rose2,72.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,20.396078054371138,331.0,878.0,311.0,874.0,rose2,48.0,rose3,99.0
