distance,before_x,before_y,after_x,after_y,class_before,probability_before,class_after,probability_after
4.123105625617661,1590,367,1594,368,rose1,98,rose2,81
4.123105625617661,1639,1310,1635,1309,rose1,93,rose1,98
4.242640687119285,1444,690,1441,687,rose3,97,rose2,95
4.242640687119285,1509,964,1506,967,rose3,52,rose4,63
5.830951894845301,379,977,374,974,rose3,99,rose4,99
5.830951894845301,1492,107,1495,102,rose2,32,rose2,98
6.0,1393,1165,1387,1165,rose4,73,rose4,75
7.0,511,58,511,51,rose2,99,rose2,98
9.848857801796104,630,887,626,878,rose3,97,rose4,66
9.848857801796104,630,887,626,878,rose3,97,rose5,39
10.295630140987,471,614,480,609,rose2,90,rose2,98
17.029386365926403,1508,885,1491,884,rose4,100,rose5,100
17.08800749063506,1313,215,1307,199,rose3,33,rose4,99
19.235384061671343,1496,1301,1479,1292,rose4,100,rose5,100
116.60617479361889,1559,152,1490,246,rose5,45,rose2,47
116.60617479361889,1559,152,1490,246,rose4,72,rose2,47
156.1569723067145,1593,810,1600,654,rose4,82,rose1,98
166.8112706024386,623,1118,548,969,rose2,81,rose4,98
228.39658491317246,449,-1,482,225,rose1,97,rose1,98
233.43093196918014,981,1151,1204,1082,rose2,40,rose2,31
310.80057915003954,1479,537,1293,786,rose2,95,rose2,98
456.32663739913323,222,976,277,523,rose2,97,rose1,55
499.001002003002,238,0,737,-1,rose1,54,rose5,53
499.001002003002,238,0,737,-1,rose2,33,rose5,53
