class,probability,left_x,top_y,width,height
rose1,55,277,523,36,25
rose2,48,331,878,32,22
rose4,99,374,974,38,32
rose2,98,480,609,22,20
rose1,98,482,225,20,24
rose2,98,511,51,33,30
rose4,98,548,969,35,36
rose4,66,626,878,45,40
rose5,39,626,878,45,40
rose5,53,737,-1,52,12
rose2,31,1204,1082,22,24
rose2,98,1293,786,20,25
rose4,99,1307,199,45,40
rose4,75,1387,1165,35,38
rose2,95,1441,687,33,26
rose5,100,1479,1292,60,59
rose2,47,1490,246,23,15
rose5,100,1491,884,63,60
rose2,98,1495,102,29,32
rose4,63,1506,967,43,38
rose2,81,1594,368,24,22
rose4,46,1594,802,52,51
rose1,98,1600,654,31,27
rose1,98,1635,1309,24,21
