distance,before_x,before_y,after_x,after_y,class_before,probability_before,class_after,probability_after
3.1622776601683795,1633,1020,1634,1023,rose5,89,rose5,100
3.605551275463989,621,885,623,882,rose2,98,rose3,99
3.605551275463989,1377,888,1374,886,rose2,94,rose4,79
5.0,1399,1172,1402,1176,rose2,96,rose4,65
5.385164807134504,1588,822,1593,824,rose2,67,rose3,40
6.0,388,162,394,162,rose4,89,rose5,99
6.082762530298219,447,0,453,-1,rose1,72,rose1,98
6.082762530298219,1638,1161,1637,1167,rose5,100,rose5,100
6.324555320336759,551,988,553,982,rose2,95,rose3,65
6.4031242374328485,425,872,421,867,rose4,98,rose5,99
7.0710678118654755,1429,677,1434,682,rose2,41,rose2,74
7.280109889280518,379,702,381,695,rose5,46,rose5,100
7.280109889280518,1463,1072,1465,1079,rose2,98,rose2,53
7.280109889280518,1507,1295,1509,1302,rose2,80,rose3,79
8.06225774829855,1553,160,1561,159,rose2,67,rose4,83
10.04987562112089,517,70,518,60,rose1,98,rose1,100
12.041594578792296,1299,216,1311,217,rose2,100,rose2,100
15.297058540778355,1631,92,1646,95,rose1,92,rose1,98
71.06335201775947,1513,894,1510,965,rose2,99,rose2,99
269.2582403567252,686,780,474,614,rose2,97,rose1,95
479.0511454949252,721,7,242,0,rose5,60,rose1,68
